strategy,period,annualized_return,max_drawdown,sharpe,average_exposure
ret120_f0.2_r5,验证期2025-2026-08,0.09641927425770125,-0.16764409041222816,0.7791067611132688,0.7955334987593052
ret120_f0.2_r5,全周期,0.018445553727749253,-0.4170826238172217,0.19996060145837702,0.7914367269267364
ret120_f0.2_r10,设计期2018-2023,0.03580369019470786,-0.30060743858445005,0.3038920671130248,0.8078242964996568
ret120_f0.2_r10,验证期2024,-0.11971606887808384,-0.17107808147119985,-0.8159269452024238,0.7024793388429752
ret120_f0.2_r10,验证期2025-2026-08,0.0917903482891167,-0.17019538348595875,0.7256750361225468,0.7955334987593051
ret120_f0.2_r10,全周期,0.026827726299453625,-0.39400755718934943,0.25326457451698836,0.7933396764985727
ret120_f0.2_r20,设计期2018-2023,0.06029547022465498,-0.28302736613012514,0.4493235737459847,0.7913520933424846
ret120_f0.2_r20,验证期2024,0.041208424285613,-0.12821769173772968,0.32386710551374,0.6694214876033058
ret120_f0.2_r20,验证期2025-2026-08,0.0917903482891167,-0.17019538348595875,0.7256750361225468,0.7955334987593051
ret120_f0.2_r20,全周期,0.06391354128580207,-0.28302736613012514,0.47785047852625134,0.778116079923882
ret120_f0.2_r40,设计期2018-2023,0.11029621024545833,-0.23549672286070678,0.7143433271735771,0.8462594371997255
ret120_f0.2_r40,验证期2024,-0.04853400281739961,-0.19187673743480194,-0.16826202884562688,0.7355371900826446
ret120_f0.2_r40,验证期2025-2026-08,0.042501151636130885,-0.21855181261577317,0.3598759056268364,0.7955334987593052
ret120_f0.2_r40,全周期,0.07744388969831606,-0.23549672286070678,0.53738086150274,0.8237868696479543
ret120_f0.4_r5,设计期2018-2023,0.04492654079635239,-0.279646939387297,0.3580582851881238,0.8525737817433082
ret120_f0.4_r5,验证期2024,-0.05740562741865429,-0.11913792431624282,-0.2905951860984707,0.7842975206611571
ret120_f0.4_r5,验证期2025-2026-08,0.10735434496012108,-0.18034729922459114,0.8229280879680582,0.846650124069479
ret120_f0.4_r5,全周期,0.04406293892677127,-0.32101698240116483,0.359109641200573,0.8435775451950523
ret120_f0.4_r10,设计期2018-2023,0.05794834749482991,-0.2763917266810453,0.43319949269163593,0.8558682223747426
ret120_f0.4_r10,验证期2024,-0.07222544554878396,-0.13277198451038563,-0.4002696791211841,0.7768595041322314
ret120_f0.4_r10,验证期2025-2026-08,0.10376626607658013,-0.17627776810254836,0.781162732455734,0.846650124069479
ret120_f0.4_r10,全周期,0.05046990314762101,-0.3009473565610834,0.3965970012798075,0.8450047573739297
ret120_f0.4_r20,设计期2018-2023,0.07664016361339154,-0.2712268078790767,0.5402884344585605,0.8435140700068634
ret120_f0.4_r20,验证期2024,0.05168629385895418,-0.12897191958824428,0.3738035653380492,0.7520661157024794
ret120_f0.4_r20,验证期2025-2026-08,0.10376626607658013,-0.17627776810254836,0.781162732455734,0.846650124069479
ret120_f0.4_r20,全周期,0.0787185478736796,-0.2712268078790767,0.5580360502935153,0.8335870599429115
ret120_f0.4_r40,设计期2018-2023,0.1143318420701307,-0.23549672286070678,0.7323073004282974,0.8846945778997941
ret120_f0.4_r40,验证期2024,-0.017446714645380834,-0.16556470997204098,0.008196582500452654,0.8016528925619836
ret120_f0.4_r40,验证期2025-2026-08,0.06592247229221382,-0.21855181261577283,0.5029353792152533,0.846650124069479
ret120_f0.4_r40,全周期,0.08877881436339607,-0.23549672286070678,0.5954660168766887,0.8678401522359658
ret120_f0.6_r5,设计期2018-2023,0.0714445064721323,-0.2651500346226954,0.5065272198866432,0.9017158544955387
ret120_f0.6_r5,验证期2024,-0.013120490094178483,-0.12553287349288356,0.016982046127129235,0.8561983471074379
ret120_f0.6_r5,验证期2025-2026-08,0.11776596935343986,-0.1930703348480074,0.8424522673859441,0.8977667493796525
ret120_f0.6_r5,全周期,0.06985636347971336,-0.2651500346226954,0.5022461196431471,0.8957183634633682
ret120_f0.6_r10,设计期2018-2023,0.0803031350202994,-0.2629353836077455,0.5544033111725618,0.9039121482498285
ret120_f0.6_r10,验证期2024,-0.02344858937200256,-0.1322854893802896,-0.04497520243226424,0.8512396694214877
ret120_f0.6_r10,验证期2025-2026-08,0.11529646112698466,-0.19047246028410425,0.8149454143636665,0.8977667493796525
ret120_f0.6_r10,全周期,0.07420746074918938,-0.2629353836077455,0.5252707413213177,0.8966698382492864
ret120_f0.6_r20,设计期2018-2023,0.09298077255464476,-0.25936962609787273,0.6238912600579373,0.8956760466712422
ret120_f0.6_r20,验证期2024,0.06128503561966925,-0.1297409328364496,0.4099619283799602,0.8347107438016529
ret120_f0.6_r20,验证期2025-2026-08,0.11529646112698466,-0.19047246028410425,0.8149454143636665,0.8977667493796525
ret120_f0.6_r20,全周期,0.09332740048672061,-0.25936962609787273,0.6270038115121481,0.889058039961941
ret120_f0.6_r40,设计期2018-2023,0.11823191387273013,-0.23549672286070678,0.7466588104927733,0.9231297185998627
ret120_f0.6_r40,验证期2024,0.013981380730431647,-0.1724633390480501,0.1728398545946154,0.8677685950413223
ret120_f0.6_r40,验证期2025-2026-08,0.08948050061105639,-0.21855181261577405,0.6309901896799656,0.8977667493796525
ret120_f0.6_r40,全周期,0.0999712293399222,-0.23549672286070678,0.6471462591380055,0.9118934348239771
ma120_fNone_r5,设计期2018-2023,0.014798562900042223,-0.24404503455408622,0.17643031640229478,0.7028140013726836
ma120_fNone_r5,验证期2024,-0.08302245314769308,-0.15203184366856093,-0.5178767701359468,0.5991735537190083
ma120_fNone_r5,验证期2025-2026-08,0.05339764277325476,-0.1284482396652964,0.440195829144043,0.6898263027295285
ma120_fNone_r5,全周期,0.01020128817856536,-0.35156522780912636,0.14586412726700956,0.6883920076117983
ma120_fNone_r10,设计期2018-2023,0.03287420840745625,-0.2367200780673937,0.29429814363906703,0.699382292381606
