symbol,first_date,last_date,rows,exchange,ends_before_dataset,current_name,name_marks_delisted
000632.SZ,2018-01-02,2026-09-11,2111,SZ,False,ST三木,False
000633.SZ,2018-01-02,2026-09-11,2111,SZ,False,合金投资,False
000635.SZ,2018-01-02,2026-09-11,2111,SZ,False,英力特,False
000636.SZ,2018-01-02,2026-09-11,2111,SZ,False,风华高科,False
000637.SZ,2018-01-02,2026-09-11,2111,SZ,False,茂化实华,False
000638.SZ,2018-01-02,2026-06-02,2039,SZ,True,*ST万方,False
000639.SZ,2018-01-02,2026-09-11,2111,SZ,False,ST西王,False
000650.SZ,2018-01-02,2026-09-11,2111,SZ,False,仁和药业,False
000651.SZ,2018-01-02,2026-09-11,2111,SZ,False,格力电器,False
000652.SZ,2018-01-02,2026-09-11,2111,SZ,False,泰达股份,False
000655.SZ,2018-01-02,2026-09-11,2111,SZ,False,金岭矿业,False
000656.SZ,2018-01-02,2026-09-11,2111,SZ,False,金科股份,False
000657.SZ,2018-01-02,2026-09-11,2111,SZ,False,中钨高新,False
000659.SZ,2018-01-02,2026-09-11,2111,SZ,False,珠海中富,False
000661.SZ,2018-01-02,2026-09-11,2111,SZ,False,长春高新,False
000662.SZ,2018-01-02,2021-04-12,795,SZ,True,天夏退,True
000663.SZ,2018-01-02,2026-09-11,2111,SZ,False,永安林业,False
000665.SZ,2018-01-02,2026-09-11,2111,SZ,False,湖北广电,False
000666.SZ,2018-01-02,2023-10-26,1411,SZ,True,经纬纺机,False
000667.SZ,2018-01-02,2023-07-14,1343,SZ,True,ST美置,False
000668.SZ,2018-01-02,2026-09-11,2111,SZ,False,荣丰控股,False
000669.SZ,2018-01-02,2026-09-11,2111,SZ,False,ST金鸿,False
000670.SZ,2018-01-02,2026-09-11,2111,SZ,False,盈方微,False
000671.SZ,2018-01-02,2023-08-16,1366,SZ,True,ST阳光城,False
000672.SZ,2018-01-02,2026-09-11,2111,SZ,False,上峰材料,False
000673.SZ,2018-01-02,2022-07-04,1092,SZ,True,当代退,True
000676.SZ,2018-01-02,2026-09-11,2111,SZ,False,智度股份,False
000677.SZ,2018-01-02,2026-09-11,2111,SZ,False,ST海龙,False
000678.SZ,2018-01-02,2026-09-11,2111,SZ,False,襄阳轴承,False
000679.SZ,2018-01-02,2026-09-11,2111,SZ,False,大连友谊,False
000680.SZ,2018-01-02,2026-09-11,2111,SZ,False,山推股份,False
000681.SZ,2018-01-02,2026-09-11,2111,SZ,False,视觉中国,False
000682.SZ,2018-01-02,2026-09-11,2111,SZ,False,东方电子,False
000683.SZ,2018-01-02,2026-09-11,2111,SZ,False,博源化工,False
000685.SZ,2018-01-02,2026-09-11,2111,SZ,False,中山公用,False
000686.SZ,2018-01-02,2026-09-11,2111,SZ,False,东北证券,False
000687.SZ,2018-01-02,2022-06-17,1081,SZ,True,华讯退,True
000688.SZ,2018-01-02,2026-09-11,2111,SZ,False,国城矿业,False
000690.SZ,2018-01-02,2026-09-11,2111,SZ,False,宝新能源,False
000691.SZ,2018-01-02,2026-09-11,2111,SZ,False,亚太实业,False
000692.SZ,2018-01-02,2026-09-11,2111,SZ,False,惠天热电,False
000693.SZ,2018-01-02,2019-07-09,368,SZ,True,华泽退,True
000695.SZ,2018-01-02,2026-09-11,2111,SZ,False,滨海能源,False
000697.SZ,2018-01-02,2026-09-11,2111,SZ,False,炼石航空,False
000698.SZ,2018-01-02,2026-09-11,2111,SZ,False,ST沈化,False
000700.SZ,2018-01-02,2026-09-11,2111,SZ,False,模塑科技,False
000701.SZ,2018-01-02,2026-09-11,2111,SZ,False,厦门信达,False
000702.SZ,2018-01-02,2026-09-11,2111,SZ,False,正虹科技,False
000703.SZ,2018-01-02,2026-09-11,2111,SZ,False,恒逸石化,False
000705.SZ,2018-01-02,2026-09-11,2111,SZ,False,浙江震元,False
000707.SZ,2018-01-02,2026-09-11,2111,SZ,False,双环科技,False
000708.SZ,2018-01-02,2026-09-11,2111,SZ,False,中信特钢,False
000709.SZ,2018-01-02,2026-09-11,2111,SZ,False,河钢股份,False
000710.SZ,2018-01-02,2026-09-11,2111,SZ,False,贝瑞基因,False
000711.SZ,2018-01-02,2026-09-11,2111,SZ,False,京蓝科技,False
000712.SZ,2018-01-02,2026-09-11,2111,SZ,False,锦龙股份,False
