date,equity,cash,positions
2025-08-06,38268663.71599397,31936379.595993973,2
2025-08-07,38278850.975993976,31936379.595993973,2
2025-08-08,38294280.555993974,31936379.595993973,2
2025-08-11,38376289.195993975,31936379.595993973,2
2025-08-12,38209580.31599397,31936379.595993973,2
2025-08-13,38196658.11599398,31936379.595993973,2
2025-08-14,38089532.43599397,31936379.595993973,2
2025-08-15,38133078.76237849,35076083.282378495,1
2025-08-18,38126734.4863085,38126734.4863085,0
2025-08-19,38126734.4863085,38126734.4863085,0
2025-08-20,38126734.4863085,38126734.4863085,0
2025-08-21,38126734.4863085,38126734.4863085,0
2025-08-22,38280872.98649509,35266352.38649509,1
2025-08-25,38316498.18649509,35266352.38649509,1
2025-08-26,38251115.46649509,35266352.38649509,1
2025-08-27,38244828.66649509,35266352.38649509,1
2025-08-28,38411847.98649509,35266352.38649509,1
2025-08-29,38254677.98649509,35266352.38649509,1
2025-09-01,38302038.546495095,35266352.38649509,1
2025-09-02,38144239.86649509,35266352.38649509,1
2025-09-03,38070265.18649509,35266352.38649509,1
2025-09-04,37898635.546495095,35266352.38649509,1
2025-09-05,37893332.80987308,37893332.80987308,0
2025-09-08,37893332.80987308,37893332.80987308,0
2025-09-09,37893332.80987308,37893332.80987308,0
2025-09-10,37893332.80987308,37893332.80987308,0
2025-09-11,37893332.80987308,37893332.80987308,0
2025-09-12,37893332.80987308,37893332.80987308,0
2025-09-15,37893332.80987308,37893332.80987308,0
2025-09-16,37893332.80987308,37893332.80987308,0
2025-09-17,37893332.80987308,37893332.80987308,0
2025-09-18,37893332.80987308,37893332.80987308,0
2025-09-19,37893332.80987308,37893332.80987308,0
